Text,Sentiment,Topic
"Detest the glass ""door"" if shower/tub .. with?",negative,Facilities
"this was expected, clean towels and room cleaned every day.",positive,Cleanliness
"Barely a few degrees warmer than outside during winter, so I had to rug up and wear shoes to use the toilet.",negative,Facilities
ac was terrible,negative,Facilities
More plug outlets with surge protectors.,negative,Facilities
"Just to give you an idea: the shutters of the windows were not working, did not go neither up or down - just hanging down only one side and the other up....",negative,Facilities
The phone in my room was not working.,negative,Facilities
"Elevators are slow, very long lines.",negative,Facilities
Location anda facilities,positive,Facilities
There was also  garbage in our kitchen - there were isntant coffee packages left from previous customers.,negative,Cleanliness
Amazing facilities.,positive,Facilities
"Only one elevator ,",negative,Facilities
Room was very spacious,positive,Comfort
The bathroom is dirty.,negative,Cleanliness
Roof terrace great,negative,Facilities
No tea or coffee making facilities in the rooms,negative,Facilities
the room had aircon and we had earplugs and slept soundly.,positive,Comfort
"Also, when the bright bathroom lights are turned on, it lights up the whole hotel room, shining thru the frosted glass panels.",negative,Facilities
The Bed was SUPER COMFY !,positive,Facilities
"Bathroom was extra small,",negative,Facilities
Rooms are cosy with great temperature control.,positive,Comfort
Facilities were very clean.,positive,Facilities
only if you don't mind stains in your bed sheets or cockroaches in your (shared) bathroom.,negative,Cleanliness
The bathroom functioned o.k.,negative,Facilities
Poor TV picture and channel selection.,negative,Facilities
No elevator.,negative,Facilities
essential gym to allow for some workout.,positive,Facilities
"Rooms quite small for price, especially if you use a travel cot.",negative,Facilities
room was not at all inviting.,negative,Comfort
Wifi connected,negative,Facilities
Everything was very clean.,positive,Cleanliness
Windows haven't been cleaned for years (if ever).,negative,Cleanliness
"Showers could do with some renovations - they seem clean,",negative,Facilities
Only cold water came out.,negative,Comfort
the Persian decor is so half-hearted it - I'd take down the 5 lengths of Turkish bunting lanterns above the glass roofed bar or cover the whole area with them - 30 more (!),negative,Facilities
The toilet ran until you jiggled the handle.,negative,Facilities
The bed was terrible and not comfortable at all,negative,Comfort
Mattresses and linens were all great.,positive,Comfort
"No wardrobe, no space for luggage, no towel change, walls are not sound proof thus very noisy.",negative,Comfort
The elevators were fast - never we had to wait long for a one.On 15th floor the city noise was not bothering at all and after the whole day walking around we were sleeping execellent.,positive,Facilities
Has most things you need.,positive,Comfort
"Bed was not a full size 2,40 cm long bed, they were smaller.",negative,Facilities
very spartan.,negative,Comfort
Room extremely small.,negative,Comfort
No walls mean oher guests being loud at all hrs.,negative,Comfort
"Very nice rooftop terrace, and gym.",positive,Facilities
Wallpaper is peeking off in places.,negative,Facilities
Insufficient and hard to reach plugs to charge devices.,negative,Comfort
"Mouse in the room,
No Wifi,
No cleaning service in 3 days,
No elevators,
Doors to outside of hotel didn't lock anymore,
On main avenue, with constructions, one of our room was pretty loud.",negative,Facilities
"No bath, only a shower, and I requested 2 queen size beds",negative,Facilities
I called and they just hadn't received the shipment of clean towels.,negative,Cleanliness
The room was clean.,positive,Facilities
"I don't mind the small space,
just would have liked a bit more ""style.""",negative,Comfort
"King Room was spacious with plenty of room to spread out and unpack, especially awesome for an extended stay.",positive,Comfort
Hotel was very clean and had character.,positive,Cleanliness
on HVAC vent.,negative,Facilities
We just had to place our luggage on the floor.,negative,Comfort
Unclean bathrooms.,negative,Cleanliness
Only negative was the old and very loud air conditioning in the rooms.,negative,Facilities
there was dust and tissue under the bed.,negative,Cleanliness
The bed was very comfy & the room spacious.,positive,Comfort
No air conditioning.,negative,Comfort
Bath and shower were in poor condition and didn''t hold the water.,negative,Facilities
I was told I would have two double beds.,negative,Comfort
"Bathroom and shower were very good!, lighting as well.",positive,Cleanliness
Rooms too small.,negative,Comfort
Our room had left over garbage from whomever stayed there prior.,negative,Cleanliness
The floor was not very clean.,negative,Cleanliness
Very comfortable beds.,positive,Comfort
The only area of improvement would be the fitness center.,negative,Facilities
The pool is the best!,positive,Facilities
"good soundproofing to windows), great showerroom with excellent hot shower, good air con, free wifi and coffee maker.",positive,Comfort
5 star qualiity towels and linen.,positive,Comfort
we only had 7 channels which four of them werent in english.,negative,Facilities
"It's much more potent and pleasant than
any Febreeze scent.
",positive,Cleanliness
"Some have small televisions, flat screen, or the old 1990's tube, as well as, some of the rooms do not have that amenity.I usually book a double room, which thus far comes with a window and is a bit more spacious.The single rooms are much smaller, yet comfortable.",positive,Facilities
Room was large for my family of 4 adults.,positive,Facilities
"My room was pretty soulless, although it did have a great view.",negative,Facilities
The room itself was very clean.,positive,Cleanliness
My room was immaculate and smelled so fresh and clean.,positive,Cleanliness
quiet place.,positive,Comfort
"The room was a nice size, big enough for both my and my friend's huge suitcases to fit on the floor and for us to still move around.",positive,Comfort
The hotel was very clean.,positive,Cleanliness
"No kettle, had to use a coffee maker to boil water for tea which was tricky as it had to be rinsed through many times.",negative,Facilities
Rooms were spotless and classy.,positive,Cleanliness
The front entrance could use some curb appeal.,negative,Facilities
"Bathroom was way too retro.......shower was very poor... no hand shower, poor water pressure and way too narrow.......It also had a plastic curtain which for a $650 dollar hotel room is way too nasty.",negative,Comfort
extra small rooms.,negative,Facilities
"Poor beds quality, very very noisy : would have been the same if we would have no windows.",negative,Comfort
"The bathrooms have frosted glass walls,not private at all.",negative,Facilities
Rooms are cold and you can't adjust the temperature and also heating works only a few hours in the morning.,negative,Comfort
very loud construction noise out front of our window.,negative,Comfort
The room was interior so no traffic noise.,positive,Facilities
Room was noisy and cold.,negative,Comfort
The air-con was too noisy to leave on for too long.,negative,Facilities
still easy to reach.,positive,Comfort
The front door didn't work so we had to pry it open.,negative,Facilities
"clean and tidy.
",negative,Cleanliness
"The bed is really terrible,especially the blanket is heavy and terrible terrible quality.",negative,Comfort
Bathroom sink tap leaked and aircon didn't work properly,negative,Facilities
We didn't like the mouse in the room.,negative,Cleanliness
Decent room,positive,Facilities
Loved the elegant art deco ambience.,positive,Facilities
Broken tiles in shower.,negative,Facilities
In the shower it was turned down as cold as it could be and it was still hotter than I would usually have it.,negative,Facilities
Bed was hard and sheets were rough.,negative,Comfort
"I loved that there was a coffee shop
underneath, and it closed at 12am every night, so that I can get my late
night coffee, if I wanted.",positive,Facilities
Dimly lit.,negative,Facilities
The towels had holes in them.,negative,Cleanliness
The hotel  advertised AC as one of its amenities in its booking.com descriptions!,negative,Facilities
The bed was super comfortable and the bathtub with jets was awesome too.,positive,Facilities
We actually enjoyed how small our room was because we knew about it ahead of time and wanted to try something really different.,positive,Comfort
"Bedding was changed once,",negative,Cleanliness
"The same counts for the bathroom, especially the shower was great.",positive,Facilities
The hotel has a rooftop with a hot tub which has an awesome view.,positive,Facilities
It was quiet.,positive,Comfort
"Rooms are small,",negative,Facilities
The drapes could have fit the window.,negative,Facilities
It was very not comfortable.,positive,Comfort
Facilities were great.,positive,Facilities
Just one bed so in your room you always have to sit on the bed.,negative,Comfort
So there could have been more convenient outlets.,negative,Facilities
The exercise room closest to my floor was filled with big screen TVs and sheets covering them.,negative,Facilities
a bit tight to make people either pay or leave yr room.,negative,Comfort
Shower was intense.,positive,Facilities
"The bed was very comfortable, and room minimalist",positive,Facilities
Rooms aren't very sound proof from hallway sounds.,negative,Facilities
Cool design.,positive,Facilities
"Our room was very spacious, especially for NYC.",positive,Comfort
The main lobby is nice,positive,Facilities
Carpets are coming unstitched.,negative,Facilities
It was bigger so that was nice!,negative,Comfort
Room was not cleaned even once during our stay.,negative,Cleanliness
Room not what we ordered or prepaid for.,negative,Facilities
"The room needed to be painted,",negative,Cleanliness
"Sep 5-8 room 302
Room was too small, the shower pressure was good.",negative,Facilities
"Very large for Manhattan with good sized bed, flat screen TV & ample closet.",positive,Comfort
"-There was no heating or air conditioning for the bathroom, which left you very cold when walking in or getting out of the shower.",negative,Comfort
Waited over 40 minutes to use shower.,negative,Facilities
The lifts worked!,positive,Facilities
Elevators tend to be slow...,negative,Facilities
Crumbs from snacks were not cleaned up for 3 days!!,negative,Cleanliness
the bathroom was a little dirty with hair at the walls,negative,Cleanliness
"We had requested two queen beds and got a room with 1 queen and 2 twins, we were advised that there were not any other rooms and could put the (2) beds together, which we did and it was no issue as far as sleeping.",negative,Facilities
Noisy noisy suite on 4th floor.,negative,Comfort
no way to lock the door.,negative,Facilities
